,Area,PLC prog unit,Device Name,Device,PLC Tag,PLC dep gauge1,PLC dep gauge2,PLC dep pump1,PLC dep valve1,Volume,sim dep vol1,sim dep vol2
182,FEE,,TV1K4-VGC-1,VV1K4,VGC,,,,,TV1K4-VGC-1,M1K4-VOL,SATT
183,FEE,,TV1K4-VFS-1,FV1K4,VCC,,,,,SATT,,
184,FEE,,ST1K4-TEST-GCC-1,,MKS500_EP,ST1K4-TEST-GPI-1,,,,SATT,,
185,FEE,,ST1K4-TEST-GPI-1,,MKS275,,,,,SATT,,
186,FEE,,TV1K4-VGC-2,VV2K4,VGC,,,,,TV1K4-VGC-2,SATT,FUTURE_MONO
187,FEE (MPS Stopper),,,CG8S,MKS500_EP,,,,,FUTURE_MONO,,
188,FEE (MPS Stopper),,,PG8S,MKS275,,,,,FUTURE_MONO,,
189,FEE (MPS Stopper),,,IP8S,PIP_Gamma,,,,,FUTURE_MONO,,
190,FEE  (BCS Stopper),,,CG9S,MKS500_EP,,,,,FUTURE_MONO,,
191,FEE  (BCS Stopper),,,PG9S,MKS275,,,,,FUTURE_MONO,,
192,FEE  (BCS Stopper),,,IP9S,PIP_Gamma,,,,,FUTURE_MONO,,
193,FEE (PPS Stopper),,,CG10S ,MKS500_EP,,,,,FUTURE_MONO,,
194,FEE (PPS Stopper),,,PG10S,MKS275,,,,,FUTURE_MONO,,
195,FEE (PPS Stopper),,,IP10S,PIP_Gamma,,,,,FUTURE_MONO,,
196,FEE,,ST3K4-XTES-VGC-1,VV3K4,VGC,,,,,FUTURE_MONO,,
197,FEE,,ST4K4-XTES-GCC-1,CG1K4,MKS500_EP,ST4K4-XTES-GPI-1,,,,FUTURE_MONO,,
198,FEE,,ST4K4-XTES-GPI-1,PG1K4,MKS275,,,,,FUTURE_MONO,,
199,FEE,,ST4K4-XTES-PIP-1,IPK4,PIP_Gamma,ST4K4-XTES-GCC-1,,,,FUTURE_MONO,,
